Wavelength (nm)	Transmission (%)
300	63.7094
301	64.7069
302	65.7255
303	66.7768
304	67.8347
305	68.9008
306	69.9657
307	71.0214
308	72.0588
309	73.0668
310	74.0488
311	74.9713
312	75.8535
313	76.6893
314	77.4563
315	78.1814
316	78.8418
317	79.4358
318	79.9922
319	80.4546
320	80.8669
321	81.2386
322	81.5002
323	81.7371
324	81.9027
325	81.9888
326	82.0592
327	82.0242
328	81.9566
329	81.8569
330	81.6785
331	81.4884
332	81.2618
333	81.0059
334	80.7386
335	80.4496
336	80.1537
337	79.852
338	79.5481
339	79.2464
340	78.9481
341	78.6615
342	78.3815
343	78.1174
344	77.8695
345	77.6319
346	77.4227
347	77.2261
348	77.0448
349	76.8857
350	76.7362
351	76.6037
352	76.4855
353	76.3759
354	76.2837
355	76.2004
356	76.126
357	76.0661
358	76.0125
359	75.9689
360	75.935
361	75.9067
362	75.8886
363	75.8767
364	75.87
365	75.8725
366	75.8788
367	75.8907
368	75.9077
369	75.9274
370	75.9506
371	75.9753
372	76.0014
373	76.0279
374	76.0543
375	76.0802
376	76.104
377	76.1267
378	76.1463
379	76.1628
380	76.1773
381	76.1858
382	76.1911
383	76.1926
384	76.1871
385	76.1781
386	76.1629
387	76.1412
388	76.1157
389	76.0813
390	76.0421
391	75.9981
392	75.9466
393	75.8923
394	75.8334
395	75.7707
396	75.706
397	75.638
398	75.5683
399	75.4973
400	75.4246
401	75.3514
402	75.2776
403	75.2038
404	75.13
405	75.0567
406	74.9842
407	74.9121
408	74.842
409	74.7727
410	74.7048
411	74.6392
412	74.5748
413	74.5127
414	74.4528
415	74.3942
416	74.339
417	74.2851
418	74.233
419	74.1828
420	74.1331
421	74.0843
422	74.0357
423	73.9871
424	73.9383
425	73.8888
426	73.8388
427	73.7873
428	73.7349
429	73.6809
430	73.6251
431	73.5679
432	73.5082
433	73.4465
434	73.3832
435	73.3163
436	73.2477
437	73.1764
438	73.1019
439	73.0254
440	72.9454
441	72.8626
442	72.7778
443	72.6884
444	72.5969
445	72.5027
446	72.4046
447	72.3045
448	72.201
449	72.0952
450	71.9877
451	71.8774
452	71.766
453	71.6532
454	71.5389
455	71.4239
456	71.3079
457	71.1914
458	71.0745
459	70.9572
460	70.8399
461	70.7225
462	70.6054
463	70.4884
464	70.3719
465	70.256
466	70.1405
467	70.026
468	69.9121
469	69.7989
470	69.6872
471	69.5762
472	69.4662
473	69.3577
474	69.2499
475	69.1438
476	69.039
477	68.935
478	68.8332
479	68.7323
480	68.6327
481	68.535
482	68.4382
483	68.3433
484	68.2496
485	68.1567
486	68.0657
487	67.9754
488	67.8861
489	67.798
490	67.7104
491	67.6239
492	67.5382
493	67.4529
494	67.3686
495	67.2848
496	67.2014
497	67.1189
498	67.0366
499	66.9548
500	66.8735
501	66.7924
502	66.7119
503	66.6316
504	66.5514
505	66.4717
506	66.3922
507	66.3128
508	66.2337
509	66.1546
510	66.0758
511	65.9971
512	65.9184
513	65.8399
514	65.7614
515	65.683
516	65.6047
517	65.5263
518	65.448
519	65.3697
520	65.2914
521	65.2132
522	65.1349
523	65.0566
524	64.9784
525	64.9001
526	64.822
527	64.7439
528	64.6659
529	64.5882
530	64.5107
531	64.4334
532	64.3565
533	64.2797
534	64.2033
535	64.1272
536	64.0514
537	63.9761
538	63.901
539	63.8263
540	63.7522
541	63.6783
542	63.6049
543	63.532
544	63.4593
545	63.3873
546	63.3157
547	63.2443
548	63.1737
549	63.1033
550	63.0334
551	62.9641
552	62.8951
553	62.8266
554	62.7586
555	62.6908
556	62.6238
557	62.557
558	62.4906
559	62.4248
560	62.3592
561	62.2941
562	62.2295
563	62.165
564	62.1012
565	62.0376
566	61.9742
567	61.9114
568	61.8487
569	61.7864
570	61.7243
571	61.6624
572	61.6008
573	61.5394
574	61.4781
575	61.4168
576	61.3555
577	61.2941
578	61.2324
579	61.1704
580	61.1081
581	61.0452
582	60.9821
583	60.9181
584	60.8537
585	60.7887
586	60.7227
587	60.6563
588	60.5889
589	60.5207
590	60.4519
591	60.3818
592	60.311
593	60.2393
594	60.1664
595	60.0928
596	60.018
597	59.942
598	59.8654
599	59.7873
600	59.7082
601	59.6284
602	59.5469
603	59.4646
604	59.3812
605	59.2965
606	59.211
607	59.124
608	59.0361
609	58.9473
610	58.8568
611	58.7655
612	58.6732
613	58.5795
614	58.485
615	58.3892
616	58.2923
617	58.1948
618	58.0956
619	57.9957
620	57.8949
621	57.7927
622	57.6899
623	57.586
624	57.481
625	57.3755
626	57.2686
627	57.1611
628	57.0529
629	56.9434
630	56.8336
631	56.7228
632	56.6112
633	56.4992
634	56.3863
635	56.273
636	56.1594
637	56.0451
638	55.9307
639	55.816
640	55.7011
641	55.5862
642	55.4711
643	55.356
644	55.241
645	55.126
646	55.0112
647	54.8965
648	54.782
649	54.6677
650	54.5538
651	54.4401
652	54.3267
653	54.2138
654	54.1012
655	53.989
656	53.8773
657	53.766
658	53.6552
659	53.545
660	53.4352
661	53.326
662	53.2174
663	53.1093
664	53.002
665	52.8951
666	52.7888
667	52.6833
668	52.5783
669	52.4741
670	52.3705
671	52.2674
672	52.1653
673	52.0637
674	51.9628
675	51.8628
676	51.7632
677	51.6645
678	51.5666
679	51.4691
680	51.3727
681	51.2768
682	51.1816
683	51.0873
684	50.9936
685	50.9006
686	50.8085
687	50.7169
688	50.6262
689	50.5362
690	50.4468
691	50.3584
692	50.2704
693	50.1833
694	50.0969
695	50.0111
696	49.9261
697	49.8418
698	49.7581
699	49.6753
700	49.593
701	49.5113
702	49.4305
703	49.3501
704	49.2705
705	49.1916
706	49.1131
707	49.0355
708	48.9584
709	48.8818
710	48.8058
711	48.7303
712	48.6554
713	48.5809
714	48.5068
715	48.4334
716	48.3603
717	48.2875
718	48.2153
719	48.1435
720	48.072
721	48.001
722	47.9302
723	47.8599
724	47.7899
725	47.7202
726	47.6509
727	47.5818
728	47.513
729	47.4446
730	47.3764
731	47.3086
732	47.241
733	47.1736
734	47.1065
735	47.0396
736	46.973
737	46.9066
738	46.8405
739	46.7745
740	46.7088
741	46.6433
742	46.578
743	46.5129
744	46.4479
745	46.3832
746	46.3186
747	46.2542
748	46.19
749	46.1259
750	46.062
751	45.9983
752	45.9347
753	45.8713
754	45.808
755	45.7448
756	45.6818
757	45.6189
758	45.5562
759	45.4936
760	45.4311
761	45.3687
762	45.3064
763	45.2443
764	45.1823
765	45.1204
766	45.0586
767	44.9969
768	44.9353
769	44.8738
770	44.8124
771	44.7512
772	44.69
773	44.6289
774	44.5679
775	44.507
776	44.4462
777	44.3854
778	44.3248
779	44.2642
780	44.2038
781	44.1434
782	44.0831
783	44.0229
784	43.9627
785	43.9027
786	43.8427
787	43.7828
