Wavelength (nm)	Normal incidence	30 deg incidence		40 deg incidence		50 deg incidence		60 deg incidence		70 deg incidence	
		S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization
300	11.6713	15.0988	8.0032	18.471	5.3072	23.9218	2.3951	32.6297	0.8007	46.2965	5.3321
301	11.3906	14.7876	7.7556	18.1396	5.0935	23.573	2.2404	32.2793	0.752	45.9795	5.4681
302	11.1125	14.4791	7.5107	17.8109	4.883	23.2271	2.0903	31.9327	0.7109	45.6677	5.6156
303	10.8349	14.1707	7.2655	17.4824	4.6731	22.8815	1.9442	31.5873	0.6811	45.3592	5.7848
304	10.5652	13.8709	7.027	17.1629	4.4696	22.5459	1.805	31.2529	0.6598	45.0631	5.9638
305	10.3035	13.5799	6.7946	16.8528	4.2718	22.2205	1.6724	30.9302	0.6482	44.7804	6.1561
306	10.053	13.3011	6.5699	16.5559	4.0808	21.9094	1.5477	30.6234	0.6484	44.5155	6.3645
307	9.8156	13.0368	6.3549	16.2746	3.898	21.6155	1.4308	30.3354	0.6574	44.2711	6.5816
308	9.5942	12.7904	6.1504	16.0126	3.7238	21.3426	1.3227	30.0705	0.6787	44.0514	6.8144
309	9.3913	12.5647	5.958	15.773	3.559	21.0941	1.2235	29.832	0.7114	43.8595	7.06
310	9.2055	12.3583	5.7765	15.5543	3.4024	20.8685	1.132	29.6186	0.7537	43.6942	7.3163
311	9.0455	12.1808	5.6099	15.3669	3.2569	20.6768	1.0514	29.4411	0.8126	43.5649	7.594
312	8.9052	12.0255	5.4541	15.2035	3.1189	20.5114	0.9785	29.2918	0.8837	43.4647	7.8878
313	8.7857	11.8937	5.3084	15.0658	2.9876	20.3739	0.9138	29.1724	0.9704	43.3948	8.2049
314	8.6921	11.7912	5.1749	14.9598	2.8647	20.2708	0.8603	29.089	1.0803	43.3598	8.5578
315	8.6167	11.7094	5.0476	14.8763	2.7459	20.1921	0.8159	29.0317	1.2128	43.3511	8.9479
316	8.5648	11.6542	4.9292	14.8217	2.634	20.1448	0.7862	29.0069	1.3801	43.3734	9.3945
317	8.5358	11.6249	4.8196	14.7951	2.531	20.1275	0.7767	29.0132	1.5915	43.4246	9.9107
318	8.522	11.613	4.7148	14.7875	2.4359	20.1309	0.7902	29.0413	1.8535	43.497	10.5057
319	8.536	11.6324	4.6293	14.8136	2.3663	20.1703	0.8486	29.1053	2.1926	43.6002	11.2075
320	8.5663	11.6702	4.5626	14.8597	2.3269	20.2309	0.9586	29.1909	2.6112	43.7227	12.0112
