Normal incidence	
Wavelength (nm)	Reflectance
395.37	0.37183
396.68	0.37767
397.99	0.35836
399.3	0.35223
400.61	0.34519
401.92	0.34165
403.24	0.34325
404.55	0.34553
405.86	0.34509
407.17	0.34441
408.48	0.34156
409.79	0.34232
411.1	0.34498
412.41	0.34987
413.72	0.35506
415.02	0.35468
416.33	0.35265
417.64	0.35223
418.95	0.35248
420.26	0.35434
421.57	0.35569
422.87	0.35919
424.18	0.35964
425.49	0.36122
426.79	0.35874
428.1	0.35851
429.41	0.35933
430.71	0.36278
432.02	0.36425
433.32	0.36547
434.63	0.36456
435.93	0.36415
437.24	0.36408
438.54	0.3646
439.85	0.36662
441.15	0.36778
442.46	0.36926
443.76	0.36951
445.06	0.36904
446.37	0.369
447.67	0.36896
448.97	0.36981
450.28	0.3693
451.58	0.36976
452.88	0.36972
454.18	0.37048
455.48	0.37115
456.78	0.37159
458.09	0.37263
459.39	0.37294
460.69	0.3734
461.99	0.37308
463.29	0.37226
464.59	0.37176
465.89	0.37248
467.19	0.3744
468.49	0.37443
469.78	0.3746
471.08	0.37397
472.38	0.37435
473.68	0.3738
474.98	0.37462
476.28	0.3747
477.57	0.37512
478.87	0.37552
480.17	0.37553
481.46	0.37538
482.76	0.37408
484.06	0.37432
485.35	0.37412
486.65	0.37399
487.94	0.37386
489.24	0.37442
490.54	0.37506
491.83	0.37504
493.12	0.37433
494.42	0.37363
495.71	0.37308
497.01	0.37331
498.3	0.37301
499.59	0.37352
500.89	0.37337
502.18	0.37346
503.47	0.3726
504.77	0.37135
506.06	0.37067
507.35	0.37046
508.64	0.37112
509.93	0.37097
511.22	0.37107
512.52	0.37072
513.81	0.37071
515.1	0.37051
516.39	0.37074
517.68	0.37063
518.97	0.37042
520.26	0.36991
521.55	0.36956
522.84	0.36941
524.13	0.36919
525.41	0.3693
526.7	0.36872
527.99	0.36844
529.28	0.36803
530.57	0.36776
531.85	0.36765
533.14	0.36727
534.43	0.36731
535.71	0.36667
537	0.36645
538.29	0.36607
539.57	0.36582
540.86	0.36536
542.15	0.36501
543.43	0.36452
544.72	0.36465
546	0.36425
547.29	0.3642
548.57	0.36354
549.85	0.36318
551.14	0.36279
552.42	0.36256
553.71	0.36198
554.99	0.36147
556.27	0.36104
557.55	0.361
558.84	0.36061
560.12	0.36024
561.4	0.35988
562.68	0.35969
563.96	0.35931
565.25	0.3588
566.53	0.35828
567.81	0.3578
569.09	0.35753
570.37	0.35708
571.65	0.35661
572.93	0.35603
