Average polarization				Separate polarizations
Wavelength (nm)	55.00 incidence reflectance	65.00 incidence reflectance	75.00 incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 incidence reflectance"	"s-Intensity, 55.00 incidence reflectance"	"p-Intensity, 65.00 incidence reflectance"	"s-Intensity, 65.00 incidence reflectance"	"p-Intensity, 75 incidence reflectance"	"s-Intensity, 75incidence reflectance"
192.414993	0.33542	0.391952	0.47393	192.414993	0.151643	0.519197	0.1122	0.671704	0.128841	0.819019
194.001999	0.333424	0.390219	0.470383	194.001999	0.149869	0.516979	0.110957	0.669481	0.125638	0.815128
195.589081	0.334078	0.388339	0.46854	195.589081	0.150146	0.51801	0.10944	0.667238	0.123123	0.813957
197.176178	0.334292	0.388806	0.466814	197.176178	0.149492	0.519093	0.108505	0.669106	0.119691	0.813938
198.763351	0.335567	0.38879	0.465624	198.763351	0.150992	0.520143	0.107435	0.670144	0.116868	0.814379
200.350571	0.335754	0.388393	0.46315	200.350571	0.150399	0.521109	0.106817	0.669968	0.113741	0.812559
201.937836	0.336402	0.388615	0.461826	201.937836	0.151393	0.52141	0.106154	0.671076	0.110746	0.812906
203.525162	0.339157	0.390159	0.46152	203.525162	0.153271	0.525042	0.105594	0.674725	0.107551	0.815489
205.112518	0.341613	0.391348	0.461487	205.112518	0.154142	0.529083	0.104783	0.677913	0.103809	0.819164
206.699921	0.34401	0.392898	0.461842	206.699921	0.155174	0.532846	0.10428	0.681515	0.100384	0.823299
208.287399	0.345217	0.393528	0.460198	208.287399	0.155679	0.534756	0.103033	0.684023	0.095839	0.824558
209.874908	0.345585	0.393378	0.45767	209.874908	0.155909	0.53526	0.101677	0.685079	0.091513	0.823828
211.462448	0.346749	0.393285	0.456625	211.462448	0.156196	0.537301	0.10038	0.686191	0.086625	0.826625
213.050049	0.346631	0.392225	0.454102	213.050049	0.155993	0.537269	0.098318	0.686132	0.081881	0.826324
214.637695	0.34695	0.391502	0.452314	214.637695	0.155234	0.538666	0.096385	0.686619	0.077262	0.827367
216.225388	0.346531	0.390364	0.450513	216.225388	0.154251	0.538811	0.09386	0.686867	0.072463	0.828564
217.813141	0.344816	0.388033	0.447276	217.813141	0.152792	0.53684	0.091142	0.684924	0.067832	0.826721
219.400925	0.343591	0.385897	0.443929	219.400925	0.150939	0.536243	0.088584	0.683209	0.063302	0.824556
220.98877	0.342019	0.384084	0.441572	220.98877	0.149139	0.5349	0.08597	0.682198	0.059412	0.823731
222.57663	0.340009	0.381842	0.438626	222.57663	0.147432	0.532586	0.083303	0.68038	0.055501	0.821752
224.164581	0.338904	0.38093	0.437156	224.164581	0.145869	0.53194	0.0809	0.68096	0.052084	0.822228
225.752533	0.33784	0.379444	0.435875	225.752533	0.143977	0.531702	0.07873	0.680158	0.048799	0.822951
227.340546	0.337329	0.378886	0.43513	227.340546	0.143137	0.531521	0.076903	0.680868	0.045745	0.824515
228.928619	0.335632	0.376936	0.433003	228.928619	0.141111	0.530153	0.074324	0.679548	0.042743	0.823263
230.516693	0.333522	0.374642	0.430212	230.516693	0.139067	0.527977	0.072026	0.677258	0.039602	0.820821
232.104858	0.33087	0.371856	0.427032	232.104858	0.137032	0.524707	0.069682	0.674031	0.036811	0.817254
233.693039	0.329968	0.370259	0.425091	233.693039	0.135605	0.524332	0.067641	0.672877	0.034167	0.816014
235.281281	0.328606	0.368869	0.423504	235.281281	0.134021	0.523191	0.065986	0.671753	0.031821	0.815187
236.869537	0.327545	0.368112	0.422523	236.869537	0.13278	0.522309	0.06403	0.672193	0.029346	0.8157
238.457855	0.326875	0.366639	0.421109	238.457855	0.131616	0.522133	0.06211	0.671168	0.026974	0.815243
240.046219	0.325237	0.365066	0.41974	240.046219	0.129941	0.520534	0.060181	0.669951	0.024708	0.814772
241.634598	0.323447	0.362943	0.4173	241.634598	0.128041	0.518852	0.058027	0.667859	0.022525	0.812075
243.223053	0.320998	0.360043	0.414402	243.223053	0.125907	0.516089	0.055507	0.664578	0.020286	0.808518
244.811523	0.318127	0.357142	0.41156	244.811523	0.123561	0.512694	0.053346	0.660937	0.018384	0.804736
246.400055	0.315362	0.353938	0.408657	246.400055	0.120845	0.509878	0.050857	0.657019	0.016579	0.800734
247.988602	0.312152	0.350602	0.406152	247.988602	0.118034	0.506271	0.04837	0.652835	0.014985	0.797318
249.577194	0.308873	0.346857	0.403254	249.577194	0.115342	0.502404	0.045838	0.647877	0.013602	0.792906
251.165848	0.305524	0.343573	0.400745	251.165848	0.112449	0.498599	0.043216	0.64393	0.012449	0.789042
252.754517	0.301646	0.340057	0.398103	252.754517	0.109398	0.493893	0.040769	0.639346	0.011592	0.784614
254.343231	0.297863	0.336311	0.395747	254.343231	0.106265	0.489461	0.038062	0.63456	0.011013	0.780482
255.932007	0.293647	0.332418	0.393331	255.932007	0.102782	0.484512	0.035468	0.629369	0.010612	0.776049
257.520813	0.289473	0.328671	0.391169	257.520813	0.099355	0.479592	0.032957	0.624385	0.010647	0.771692
259.10965	0.284487	0.324498	0.388472	259.10965	0.095618	0.473356	0.030332	0.618665	0.010858	0.766087
260.698517	0.279438	0.319778	0.386288	260.698517	0.091764	0.467111	0.027607	0.611948	0.011453	0.761122
262.287415	0.273964	0.314753	0.3835	262.287415	0.087755	0.460173	0.024931	0.604575	0.012324	0.754675
263.876373	0.268082	0.309771	0.380851	263.876373	0.083385	0.452778	0.022486	0.597057	0.013442	0.74826
265.465363	0.261718	0.303984	0.3776	265.465363	0.079037	0.444399	0.019918	0.588051	0.014937	0.740263
267.054382	0.25524	0.298264	0.374166	267.054382	0.074499	0.435982	0.01752	0.579007	0.016579	0.731752
268.643433	0.248574	0.292215	0.371105	268.643433	0.070111	0.427036	0.015276	0.569155	0.018456	0.723754
270.232513	0.241733	0.286337	0.367522	270.232513	0.065822	0.417645	0.013204	0.559471	0.02056	0.714484
271.821655	0.235618	0.280811	0.365058	271.821655	0.061925	0.409312	0.011268	0.550355	0.022982	0.707133
273.410828	0.229376	0.275822	0.362329	273.410828	0.058084	0.400668	0.009564	0.54208	0.025437	0.69922
275.000031	0.223419	0.270715	0.360565	275.000031	0.054323	0.392515	0.008044	0.533386	0.028077	0.693052
276.589264	0.217348	0.265935	0.358304	276.589264	0.050714	0.383981	0.006623	0.525247	0.03082	0.685788
278.178528	0.21167	0.260972	0.356134	278.178528	0.047488	0.375852	0.005425	0.516518	0.033541	0.678728
279.767822	0.205965	0.2559	0.353658	279.767822	0.04402	0.36791	0.004376	0.507423	0.036309	0.671008
281.357147	0.200791	0.251433	0.351817	281.357147	0.041107	0.360475	0.003506	0.49936	0.038955	0.66468
282.946533	0.195657	0.247827	0.350442	282.946533	0.038431	0.352883	0.00284	0.492813	0.041785	0.659099
284.53595	0.191326	0.244438	0.349505	284.53595	0.035998	0.346655	0.002323	0.486554	0.044624	0.654385
286.125366	0.187022	0.240945	0.348256	286.125366	0.033843	0.340202	0.001921	0.479968	0.04732	0.649192
287.714844	0.183298	0.237966	0.347476	287.714844	0.031879	0.334716	0.001643	0.474289	0.050015	0.644936
289.304352	0.17952	0.235135	0.346456	289.304352	0.030156	0.328884	0.001513	0.468756	0.052464	0.640448
290.89386	0.176382	0.23301	0.345737	290.89386	0.028545	0.324219	0.001464	0.464555	0.054862	0.636611
292.483459	0.173725	0.23109	0.345588	292.483459	0.027356	0.320095	0.001537	0.460643	0.057174	0.634003
294.073029	0.171095	0.229215	0.345081	294.073029	0.026101	0.316089	0.00168	0.456751	0.05926	0.630902
295.662659	0.16922	0.228199	0.345521	295.662659	0.0251	0.31334	0.0019	0.454499	0.06147	0.629571
297.252319	0.167384	0.227103	0.345303	297.252319	0.024345	0.310424	0.002178	0.452027	0.063294	0.627311
298.84201	0.165527	0.226041	0.344992	298.84201	0.023624	0.307429	0.002536	0.449545	0.065052	0.624931
300.431732	0.164474	0.225737	0.345415	300.431732	0.023138	0.30581	0.00293	0.448544	0.066428	0.624403
302.021484	0.163425	0.225011	0.34523	302.021484	0.022794	0.304055	0.003365	0.446656	0.067751	0.622708
303.611267	0.16295	0.224987	0.345881	303.611267	0.022677	0.303223	0.003858	0.446117	0.069133	0.622628
305.20105	0.162475	0.225243	0.346637	305.20105	0.022457	0.302494	0.004388	0.446098	0.070575	0.6227
306.790894	0.16215	0.225257	0.347376	306.790894	0.02253	0.30177	0.004922	0.445593	0.071908	0.622844
308.380768	0.162536	0.22614	0.348338	308.380768	0.022707	0.302366	0.005461	0.44682	0.072843	0.623833
309.970642	0.162942	0.227035	0.349301	309.970642	0.022977	0.302907	0.00605	0.44802	0.073829	0.624773
311.560577	0.163307	0.227799	0.350331	311.560577	0.02321	0.303404	0.006676	0.448922	0.074857	0.625804
313.150543	0.164112	0.228666	0.351267	313.150543	0.02366	0.304564	0.007271	0.450062	0.075724	0.626811
314.740509	0.165093	0.230193	0.352471	314.740509	0.024177	0.306009	0.007864	0.452521	0.076407	0.628535
316.330505	0.166149	0.231706	0.354124	316.330505	0.024679	0.307619	0.008519	0.454893	0.077183	0.631065
317.920532	0.167345	0.233134	0.354735	317.920532	0.025293	0.309396	0.009184	0.457083	0.077697	0.631773
319.51059	0.168724	0.234544	0.35592	319.51059	0.026001	0.311447	0.009847	0.459241	0.078447	0.633393
321.100677	0.170554	0.236494	0.358229	321.100677	0.026931	0.314178	0.010448	0.46254	0.078853	0.637604
322.690796	0.17177	0.238409	0.35959	322.690796	0.027585	0.315955	0.011171	0.465648	0.079502	0.639677
324.280914	0.173568	0.239902	0.360717	324.280914	0.02849	0.318646	0.011848	0.467955	0.07974	0.641693
325.871063	0.175287	0.241944	0.362241	325.871063	0.029254	0.32132	0.012462	0.471426	0.079981	0.644501
327.461243	0.17717	0.244324	0.363621	327.461243	0.03017	0.32417	0.013176	0.475473	0.080495	0.646747
329.051453	0.178906	0.246188	0.364781	329.051453	0.031104	0.326708	0.013837	0.47854	0.080874	0.648688
330.641693	0.181282	0.248412	0.366322	330.641693	0.032096	0.330469	0.014644	0.48218	0.081249	0.651395
332.231964	0.183552	0.250703	0.367928	332.231964	0.033267	0.333836	0.015364	0.486042	0.081469	0.654386
333.822235	0.185573	0.253305	0.369556	333.822235	0.034076	0.337071	0.016142	0.490468	0.081716	0.657395
335.412537	0.187785	0.255376	0.370507	335.412537	0.035447	0.340122	0.017048	0.493704	0.082042	0.658972
337.002869	0.190687	0.258161	0.372728	337.002869	0.036704	0.344669	0.017868	0.498455	0.082452	0.663004
338.593231	0.193342	0.260816	0.373837	338.593231	0.038024	0.348661	0.018651	0.502981	0.082525	0.665148
340.183594	0.196323	0.263768	0.375865	340.183594	0.039417	0.353228	0.019564	0.507972	0.082894	0.668836
341.773987	0.199701	0.266672	0.377506	341.773987	0.041041	0.35836	0.020573	0.512771	0.083024	0.671988
343.36441	0.202837	0.270001	0.379462	343.36441	0.04259	0.363083	0.021493	0.518509	0.083108	0.675815
344.954865	0.206615	0.273487	0.381266	344.954865	0.044425	0.368805	0.022527	0.524446	0.083621	0.678912
346.545319	0.210499	0.277229	0.383645	346.545319	0.046342	0.374657	0.023638	0.530819	0.083511	0.683778
348.135803	0.214448	0.280737	0.385473	348.135803	0.048251	0.380644	0.024773	0.536701	0.083497	0.687448
349.726288	0.218486	0.284363	0.386868	349.726288	0.050417	0.386555	0.02599	0.542737	0.083352	0.690384
351.316833	0.222814	0.288663	0.389085	351.316833	0.052625	0.393004	0.027156	0.55017	0.083045	0.695125
352.907349	0.228109	0.293099	0.391382	352.907349	0.055224	0.400994	0.028465	0.557733	0.082802	0.699962
354.497894	0.232541	0.297501	0.393146	354.497894	0.057552	0.40753	0.029843	0.565159	0.082447	0.703845
356.088501	0.237826	0.301492	0.394578	356.088501	0.060382	0.415271	0.031078	0.571906	0.08164	0.707516
357.679108	0.243646	0.306257	0.394227	357.679108	0.063288	0.424004	0.032615	0.5799	0.080353	0.7081
359.269714	0.249388	0.310943	0.39781	359.269714	0.06637	0.432406	0.034007	0.58788	0.080084	0.715535
360.860352	0.254725	0.316505	0.40106	360.860352	0.06922	0.44023	0.035526	0.597484	0.07945	0.72267
362.450989	0.260221	0.321286	0.401926	362.450989	0.072659	0.447784	0.037113	0.605459	0.077946	0.725906
