Normal incidence	
Wavelength (nm)	Reflectance
395.37	0.27413
396.68	0.27956
397.99	0.27709
399.3	0.28946
400.61	0.29392
401.92	0.29529
403.24	0.29994
404.55	0.3047
405.86	0.31186
407.17	0.31231
408.48	0.31348
409.79	0.31533
411.1	0.31406
412.41	0.31853
413.72	0.32364
415.02	0.32727
416.33	0.32571
417.64	0.32047
418.95	0.32268
420.26	0.32576
421.57	0.33073
422.87	0.3319
424.18	0.33318
425.49	0.33598
426.79	0.33803
428.1	0.33909
429.41	0.33998
430.71	0.34122
432.02	0.34282
433.32	0.34324
434.63	0.34424
435.93	0.34409
437.24	0.34497
438.54	0.34664
439.85	0.34841
441.15	0.34918
442.46	0.34871
443.76	0.34966
445.06	0.34966
446.37	0.34968
447.67	0.34814
448.97	0.34834
450.28	0.34874
451.58	0.35001
452.88	0.35031
454.18	0.35086
455.48	0.35066
456.78	0.35125
458.09	0.35134
459.39	0.35225
460.69	0.35277
461.99	0.35316
463.29	0.35313
464.59	0.35255
465.89	0.35309
467.19	0.35401
468.49	0.3555
469.78	0.35654
471.08	0.35654
472.38	0.35668
473.68	0.35559
474.98	0.356
476.28	0.35587
477.57	0.35601
478.87	0.35601
480.17	0.35643
481.46	0.35728
482.76	0.35678
484.06	0.35605
485.35	0.35494
486.65	0.35492
487.94	0.35491
489.24	0.35547
490.54	0.35541
491.83	0.35579
493.12	0.35583
494.42	0.35624
495.71	0.35568
497.01	0.35561
498.3	0.35584
499.59	0.35625
500.89	0.35647
502.18	0.35554
503.47	0.35489
504.77	0.35418
506.06	0.35448
507.35	0.35457
508.64	0.35425
509.93	0.35351
511.22	0.35331
512.52	0.35345
513.81	0.35337
515.1	0.35265
516.39	0.35261
517.68	0.35254
518.97	0.35292
520.26	0.35274
521.55	0.35286
522.84	0.35241
524.13	0.352
525.41	0.35144
526.7	0.35138
527.99	0.35075
529.28	0.3507
530.57	0.35061
531.85	0.35076
533.14	0.3506
534.43	0.3498
535.71	0.34926
537	0.3485
538.29	0.34827
539.57	0.34822
540.86	0.34823
542.15	0.34812
543.43	0.34816
544.72	0.3478
546	0.34742
547.29	0.34652
548.57	0.34614
549.85	0.34562
551.14	0.34527
552.42	0.34457
553.71	0.3443
554.99	0.34417
556.27	0.34425
557.55	0.34396
558.84	0.34334
560.12	0.34282
561.4	0.34239
562.68	0.34209
563.96	0.34188
565.25	0.34159
566.53	0.34142
567.81	0.34099
569.09	0.34053
570.37	0.33984
571.65	0.33924
572.93	0.33869
574.21	0.33846
575.49	0.33803
576.77	0.3377
578.05	0.33734
579.33	0.33711
580.6	0.33673
581.88	0.33624
583.16	0.33569
584.44	0.33542
585.72	0.3351
586.99	0.33461
588.27	0.33416
589.55	0.33374
590.82	0.33353
592.1	0.33289
593.38	0.33234
594.65	0.33168
595.93	0.33149
597.2	0.33124
598.48	0.33114
599.75	0.33084
601.03	0.33027
602.3	0.32984
603.58	0.32935
604.85	0.32887
606.12	0.32813
607.4	0.32751
608.67	0.32696
609.94	0.32673
611.22	0.32632
612.49	0.32602
613.76	0.32542
615.03	0.32499
616.3	0.3246
617.58	0.32422
618.85	0.32399
620.12	0.32364
621.39	0.32321
622.66	0.32268
623.93	0.32217
625.2	0.32179
626.47	0.32113
627.74	0.32072
629.01	0.32052
630.28	0.32027
631.55	0.31957
632.82	0.31877
634.09	0.31833
635.35	0.31813
636.62	0.31767
637.89	0.31715
639.16	0.31673
640.42	0.31633
641.69	0.31585
642.96	0.31537
644.22	0.31502
645.49	0.31469
646.76	0.31405
648.02	0.31353
649.29	0.31284
650.55	0.31255
651.82	0.31205
653.08	0.31171
654.35	0.31119
655.61	0.3109
656.88	0.31035
658.14	0.30988
659.41	0.30934
660.67	0.30907
661.93	0.30855
663.2	0.30797
664.46	0.30755
665.72	0.30714
666.98	0.30649
668.25	0.30613
669.51	0.3057
670.77	0.30542
672.03	0.30486
673.29	0.30439
674.55	0.30396
675.81	0.3035
677.07	0.30312
678.33	0.30263
679.59	0.30214
680.85	0.30183
682.11	0.30157
683.37	0.3012
684.63	0.30078
685.89	0.30056
687.15	0.30013
688.41	0.29951
689.66	0.2989
690.92	0.29848
692.18	0.29803
693.44	0.29764
694.69	0.29704
695.95	0.29673
697.21	0.29636
698.46	0.29604
699.72	0.29566
700.98	0.2951
702.23	0.29487
703.49	0.29453
704.74	0.29415
706	0.29355
707.25	0.29291
708.51	0.29253
709.76	0.29211
711.01	0.29195
712.27	0.29147
713.52	0.29106
714.78	0.29067
716.03	0.2903
717.28	0.29013
718.53	0.28956
719.79	0.28916
721.04	0.28866
722.29	0.28815
723.54	0.28775
724.79	0.28728
726.04	0.287
727.29	0.28668
728.55	0.28613
729.8	0.28555
731.05	0.28494
732.3	0.28439
733.55	0.28389
734.8	0.28332
736.04	0.28299
737.29	0.28271
738.54	0.28252
739.79	0.28215
741.04	0.2817
742.29	0.28124
743.53	0.28095
744.78	0.28068
746.03	0.28025
747.28	0.27966
748.52	0.27933
749.77	0.27904
751.02	0.27875
752.26	0.27827
753.51	0.27805
754.75	0.27799
756	0.27766
757.25	0.27699
758.49	0.27615
759.73	0.27569
760.98	0.27515
762.22	0.27493
763.47	0.27461
764.71	0.27437
765.95	0.27419
767.2	0.2737
768.44	0.27313
769.68	0.27243
770.93	0.27209
772.17	0.27197
773.41	0.27158
774.65	0.27104
775.89	0.27058
777.14	0.27048
778.38	0.27021
779.62	0.26998
780.86	0.26946
782.1	0.26906
783.34	0.26858
784.58	0.26833
785.82	0.26777
787.06	0.2674
788.3	0.2667
789.54	0.26639
790.78	0.26589
792.01	0.26555
793.25	0.26503
794.49	0.26467
795.73	0.26424
796.97	0.26385
798.2	0.26359
799.44	0.2632
800.68	0.26299
801.91	0.26223
803.15	0.2619
804.39	0.26161
805.62	0.26135
806.86	0.26086
808.09	0.26009
809.33	0.25987
810.56	0.25948
811.8	0.25933
813.03	0.25881
814.27	0.25855
815.5	0.25819
816.74	0.25779
817.97	0.25705
819.2	0.25648
820.44	0.25597
821.67	0.25595
822.9	0.25535
824.13	0.255
825.36	0.25464
826.6	0.25462
827.83	0.25438
829.06	0.25351
830.29	0.25319
831.52	0.25261
832.75	0.25245
833.98	0.25187
835.21	0.25149
836.44	0.25145
837.67	0.25126
838.9	0.25073
840.13	0.2502
841.36	0.24977
842.59	0.24986
843.82	0.24949
845.05	0.24906
846.27	0.2484
847.5	0.24781
848.73	0.24712
849.96	0.24694
851.18	0.24656
852.41	0.24625
853.64	0.24558
854.86	0.24507
856.09	0.24468
857.32	0.24423
858.54	0.24383
859.77	0.24384
860.99	0.2436
862.22	0.24374
863.44	0.24324
864.67	0.24277
865.89	0.24246
867.12	0.24208
868.34	0.24216
869.56	0.2416
870.79	0.24109
872.01	0.24061
873.23	0.24034
874.45	0.23993
875.68	0.23955
876.9	0.23882
878.12	0.23862
879.34	0.2384
880.56	0.23833
881.79	0.23791
883.01	0.23745
884.23	0.23725
885.45	0.23705
886.67	0.23669
887.89	0.23643
889.11	0.23589
890.33	0.23513
891.55	0.23449
892.77	0.23437
893.98	0.23424
895.2	0.23402
896.42	0.23372
897.64	0.23354
898.86	0.23332
900.07	0.23273
901.29	0.23257
902.51	0.23209
903.73	0.23191
904.94	0.2316
906.16	0.23092
907.38	0.2304
908.59	0.22963
909.81	0.22997
911.02	0.22992
912.24	0.22959
913.45	0.22841
914.67	0.22784
915.88	0.22807
917.1	0.22815
918.31	0.22808
919.52	0.22777
920.74	0.22743
921.95	0.227
923.16	0.22651
924.38	0.22617
925.59	0.22576
926.8	0.22516
928.01	0.22493
929.23	0.22503
930.44	0.22448
931.65	0.22402
932.86	0.22331
934.07	0.22305
935.28	0.22195
936.49	0.22138
937.7	0.22091
938.91	0.22095
940.12	0.22107
941.33	0.2207
942.54	0.22061
943.75	0.22025
944.96	0.22016
946.17	0.21984
947.38	0.21908
948.58	0.21792
949.79	0.21722
951	0.21597
952.21	0.21591
953.41	0.2159
954.62	0.21615
955.83	0.21607
957.03	0.21626
958.24	0.2168
959.45	0.21724
960.65	0.21669
961.86	0.21576
963.06	0.21552
964.27	0.21478
965.47	0.21514
966.68	0.2145
967.88	0.21462
969.09	0.21342
970.29	0.21181
971.49	0.21104
972.7	0.21114
973.9	0.21158
975.1	0.21121
976.3	0.21059
977.51	0.21
978.71	0.20944
979.91	0.20891
981.11	0.20792
982.31	0.20705
983.52	0.20573
984.72	0.20598
985.92	0.20536
987.12	0.2041
988.32	0.20218
989.52	0.20067
990.72	0.20023
991.92	0.20051
993.12	0.20194
994.32	0.2037
995.51	0.20429
996.71	0.20332
997.91	0.20125
999.11	0.20119
1000.31	0.20175
1001.51	0.20018
1002.7	0.20058
1003.9	0.19828
1005.1	0.20128
1006.29	0.20032
1007.49	0.20057
1008.69	0.20019
1009.88	0.19852
1011.08	0.19551
1012.27	0.19159
1013.47	0.19079
1014.66	0.192
1015.86	0.19116
1017.05	0.19024
1018.25	0.18763
1019.44	0.19007
1020.64	0.191
1021.83	0.19244
1023.02	0.19
1024.22	0.18774
1025.41	0.18734
1026.6	0.18698
1027.79	0.19027
1028.99	0.18937
1030.18	0.18916
1031.37	0.18483
1032.56	0.18722
