#Average polarization				Separate polarizations						
#Wavelength (nm)	55.00 incidence reflectance	65.00 incidence reflectance	75.00 incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 incidence reflectance"	"s-Intensity, 55.00 incidence reflectance"	"p-Intensity, 65.00 incidence reflectance"	"s-Intensity, 65.00 incidence reflectance"	"p-Intensity, 75 incidence reflectance"	"s-Intensity, 75 incidence reflectance"
192.414993	0.165745	0.149283	0.22797	192.414993	0.073006	0.258483	0.0132	0.285367	0.059529	0.396411
194.001999	0.166035	0.149814	0.226987	194.001999	0.073732	0.258337	0.013441	0.286187	0.057602	0.396372
195.589081	0.166482	0.149874	0.226412	195.589081	0.074118	0.258845	0.013674	0.286074	0.058198	0.394625
197.176178	0.166643	0.149398	0.225713	197.176178	0.074441	0.258845	0.013571	0.285226	0.057308	0.394117
198.763351	0.165692	0.148686	0.223274	198.763351	0.074296	0.257088	0.013873	0.283499	0.056315	0.390234
200.350571	0.166545	0.149068	0.22257	200.350571	0.075651	0.25744	0.013795	0.284342	0.056275	0.388866
201.937836	0.167897	0.149497	0.22232	201.937836	0.076283	0.259512	0.014296	0.284698	0.0558	0.388839
203.525162	0.169486	0.150344	0.222244	203.525162	0.077542	0.26143	0.01505	0.285638	0.055583	0.388905
205.112518	0.171482	0.150685	0.221389	205.112518	0.079399	0.263565	0.015281	0.286089	0.054787	0.387991
206.699921	0.173222	0.151901	0.221335	206.699921	0.081047	0.265396	0.016122	0.28768	0.054559	0.388111
208.287399	0.175695	0.152894	0.221179	208.287399	0.082989	0.268402	0.016732	0.289057	0.053609	0.38875
209.874908	0.177819	0.154079	0.220775	209.874908	0.084383	0.271255	0.017333	0.290825	0.052941	0.388608
211.462448	0.179762	0.155251	0.219553	211.462448	0.085942	0.273581	0.017982	0.29252	0.052372	0.386734
213.050049	0.181247	0.155821	0.219016	213.050049	0.087205	0.275288	0.018739	0.292903	0.051695	0.386337
214.637695	0.1828	0.157073	0.218758	214.637695	0.088146	0.277455	0.019294	0.294851	0.051016	0.3865
216.225388	0.18388	0.157589	0.218362	216.225388	0.088859	0.278901	0.019291	0.295887	0.050363	0.386361
217.813141	0.184494	0.157608	0.218531	217.813141	0.089184	0.279803	0.019435	0.29578	0.050094	0.386967
219.400925	0.184443	0.158557	0.218428	219.400925	0.08911	0.279777	0.019537	0.297577	0.049708	0.387147
220.98877	0.184243	0.158303	0.21881	220.98877	0.088562	0.279923	0.019068	0.297539	0.049468	0.388153
222.57663	0.184411	0.158096	0.219067	222.57663	0.087926	0.280896	0.018702	0.297491	0.049577	0.388558
