#Normal incidence	
#Wavelength (nm)	Transmission
192.414993	0.005509
194.001999	0.00332
195.589081	0.002546
197.176178	0.001804
198.763351	0.00155
200.350571	0.001209
201.937836	0.001141
203.525162	0.001087
205.112518	0.001057
206.699921	0.001068
208.287399	0.000935
209.874908	0.001124
211.462448	0.001273
213.050049	0.001511
214.637695	0.002025
216.225388	0.002666
217.813141	0.003227
219.400925	0.004135
220.98877	0.005308
222.57663	0.007176
224.164581	0.009629
225.752533	0.012028
227.340546	0.014967
228.928619	0.018246
230.516693	0.021578
232.104858	0.02541
233.693039	0.029489
235.281281	0.033846
236.869537	0.038511
238.457855	0.043581
240.046219	0.048853
241.634598	0.054507
243.223053	0.060491
244.811523	0.066575
246.400055	0.073131
247.988602	0.079881
249.577194	0.087003
251.165848	0.094293
252.754517	0.101855
254.343231	0.109793
255.932007	0.117776
257.520813	0.126137
259.10965	0.134775
260.698517	0.143549
262.287415	0.152629
263.876373	0.161636
265.465363	0.171003
267.054382	0.180628
268.643433	0.190231
270.232513	0.19994
271.821655	0.209772
273.410828	0.219463
275.000031	0.22926
276.589264	0.238943
278.178528	0.248778
279.767822	0.258296
281.357147	0.267434
282.946533	0.276868
284.53595	0.286009
286.125366	0.29471
287.714844	0.303884
289.304352	0.311814
290.89386	0.320532
292.483459	0.328448
294.073029	0.336518
295.662659	0.344388
297.252319	0.351802
298.84201	0.359259
300.431732	0.366324
302.021484	0.373273
303.611267	0.380208
305.20105	0.386836
306.790894	0.393245
308.380768	0.400042
309.970642	0.40624
311.560577	0.412241
313.150543	0.418443
314.740509	0.424648
316.330505	0.430411
317.920532	0.436167
319.51059	0.441623
321.100677	0.44811
322.690796	0.454085
324.280914	0.460223
325.871063	0.466276
327.461243	0.47251
329.051453	0.479147
330.641693	0.485756
332.231964	0.492724
333.822235	0.499704
335.412537	0.507103
337.002869	0.515051
338.593231	0.522673
340.183594	0.530949
341.773987	0.539874
343.36441	0.548398
344.954865	0.557787
346.545319	0.566044
348.135803	0.57545
349.726288	0.584703
351.316833	0.59343
352.907349	0.601798
354.497894	0.611055
356.088501	0.619572
357.679108	0.627876
359.269714	0.634976
360.860352	0.642211
362.450989	0.648413
364.041687	0.654455
365.632385	0.659104
367.223083	0.664449
368.813782	0.66777
370.404541	0.671538
371.9953	0.674806
373.58606	0.677589
375.176849	0.679384
376.767639	0.680098
378.358459	0.681101
379.94931	0.681634
381.540161	0.680264
383.131042	0.679574
