Normal incidence	
Wavelength (nm)	Reflectance
395.37	0.47267
396.68	0.47833
397.99	0.47583
399.3	0.47873
400.61	0.48921
401.92	0.49248
403.24	0.50018
404.55	0.50668
405.86	0.51107
407.17	0.50964
408.48	0.50624
409.79	0.50739
411.1	0.5104
412.41	0.5112
413.72	0.5156
415.02	0.52325
416.33	0.53002
417.64	0.52727
418.95	0.52929
420.26	0.53156
421.57	0.53718
422.87	0.53622
424.18	0.53927
425.49	0.54235
426.79	0.54529
428.1	0.54695
429.41	0.5491
430.71	0.55094
432.02	0.55409
433.32	0.55504
434.63	0.5577
435.93	0.55817
437.24	0.56024
438.54	0.56326
439.85	0.56663
441.15	0.56843
442.46	0.56868
443.76	0.56998
445.06	0.57314
446.37	0.57665
447.67	0.57832
448.97	0.57974
450.28	0.58082
451.58	0.58236
452.88	0.58299
454.18	0.58368
455.48	0.5853
456.78	0.58746
458.09	0.58884
459.39	0.58979
460.69	0.58998
461.99	0.59087
463.29	0.59223
464.59	0.59375
465.89	0.59523
467.19	0.59657
468.49	0.59924
469.78	0.60145
471.08	0.60292
472.38	0.60516
473.68	0.60541
474.98	0.60663
476.28	0.60642
477.57	0.60797
478.87	0.60945
480.17	0.61048
481.46	0.61119
482.76	0.61183
484.06	0.61303
485.35	0.61429
486.65	0.61506
487.94	0.61588
489.24	0.61685
490.54	0.61729
491.83	0.61766
493.12	0.61879
494.42	0.62069
495.71	0.62123
497.01	0.62172
498.3	0.62219
499.59	0.62314
500.89	0.62398
502.18	0.62389
503.47	0.62457
504.77	0.62496
506.06	0.62612
507.35	0.62788
508.64	0.62815
509.93	0.62815
511.22	0.62815
512.52	0.62923
513.81	0.62974
515.1	0.6287
516.39	0.62852
517.68	0.62914
518.97	0.63093
520.26	0.63209
521.55	0.6325
522.84	0.63275
524.13	0.63246
525.41	0.63296
526.7	0.63285
527.99	0.63327
529.28	0.63354
530.57	0.63436
531.85	0.63438
533.14	0.63458
534.43	0.63435
535.71	0.63457
537	0.63425
538.29	0.63362
539.57	0.63352
540.86	0.63384
