Average polarization				Separate polarizations						
Wavelength (nm)	55.00 incidence reflectance	65.00 incidence reflectance	75.00 incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 incidence reflectance"	"s-Intensity, 55.00 incidence reflectance"	"p-Intensity, 65.00 incidence reflectance"	"s-Intensity, 65.00 incidence reflectance"	"p-Intensity, 75 incidence reflectance"	"s-Intensity, 75incidence reflectance"
192.414993	0.362608	0.27882	0.166736	192.414993	0.29071	0.434506	0.174693	0.382948	0.038477	0.294994
194.001999	0.362099	0.278178	0.165906	194.001999	0.290451	0.433747	0.174466	0.38189	0.038324	0.293489
195.589081	0.361213	0.276349	0.163734	195.589081	0.289749	0.432676	0.172559	0.380139	0.037229	0.290239
197.176178	0.360872	0.275695	0.163269	197.176178	0.288769	0.432975	0.172142	0.379247	0.036941	0.289597
198.763351	0.360531	0.27484	0.163311	198.763351	0.288315	0.432746	0.171272	0.378408	0.036332	0.29029
200.350571	0.359398	0.275183	0.162114	200.350571	0.288227	0.430569	0.17163	0.378737	0.03588	0.288347
201.937836	0.360342	0.275041	0.162211	201.937836	0.288347	0.432337	0.172234	0.377848	0.035452	0.288969
203.525162	0.363183	0.277186	0.161732	203.525162	0.291159	0.435208	0.174021	0.380351	0.035634	0.287831
205.112518	0.367136	0.279451	0.160814	205.112518	0.294675	0.439596	0.175796	0.383105	0.034776	0.286853
206.699921	0.372129	0.283776	0.160814	206.699921	0.299468	0.44479	0.179359	0.388194	0.034047	0.287581
208.287399	0.377183	0.287895	0.16057	208.287399	0.304308	0.450058	0.183748	0.392042	0.034078	0.287063
209.874908	0.382824	0.291735	0.160222	209.874908	0.30895	0.456698	0.187388	0.396083	0.033804	0.28664
211.462448	0.388757	0.297157	0.159871	211.462448	0.314816	0.462698	0.192431	0.401882	0.033502	0.286239
213.050049	0.39535	0.302515	0.159377	213.050049	0.32105	0.469651	0.197466	0.407564	0.033444	0.285311
214.637695	0.401383	0.307248	0.158841	214.637695	0.32738	0.475386	0.202459	0.412037	0.033006	0.284677
216.225388	0.406549	0.312013	0.158772	216.225388	0.332132	0.480967	0.206917	0.41711	0.032928	0.284617
217.813141	0.41116	0.315526	0.15815	217.813141	0.336638	0.485682	0.210486	0.420567	0.03304	0.283259
219.400925	0.415876	0.31928	0.15839	219.400925	0.340663	0.491089	0.213491	0.425069	0.03299	0.283789
