Normal incidence	
Wavelength (nm)	Reflectance
395.37	0.59974
396.68	0.60817
397.99	0.61138
399.3	0.61415
400.61	0.61009
401.92	0.61503
403.24	0.6109
404.55	0.61455
405.86	0.61358
407.17	0.61702
408.48	0.61483
409.79	0.61341
411.1	0.61037
412.41	0.61487
413.72	0.62112
415.02	0.62828
416.33	0.6266
417.64	0.62442
418.95	0.62405
420.26	0.62668
421.57	0.62994
422.87	0.62982
424.18	0.63117
425.49	0.63101
426.79	0.63308
428.1	0.63419
429.41	0.63812
430.71	0.64088
432.02	0.64384
433.32	0.64254
434.63	0.64349
435.93	0.64361
437.24	0.64584
438.54	0.64542
439.85	0.64676
441.15	0.64853
442.46	0.65191
443.76	0.6533
445.06	0.65539
446.37	0.65377
447.67	0.65455
448.97	0.65442
450.28	0.6563
451.58	0.6586
452.88	0.6598
454.18	0.66268
455.48	0.66239
456.78	0.66213
458.09	0.66262
459.39	0.66366
460.69	0.66551
461.99	0.66512
463.29	0.66586
464.59	0.66697
465.89	0.66807
467.19	0.66908
468.49	0.66916
469.78	0.67002
471.08	0.67004
472.38	0.66996
473.68	0.67072
474.98	0.67104
476.28	0.67248
477.57	0.67314
478.87	0.6749
480.17	0.67626
481.46	0.67699
482.76	0.67823
484.06	0.67781
485.35	0.67852
486.65	0.67873
487.94	0.67974
489.24	0.68032
490.54	0.67962
491.83	0.68038
493.12	0.68092
494.42	0.68174
495.71	0.68139
497.01	0.6811
498.3	0.68056
499.59	0.68099
500.89	0.68194
502.18	0.68356
503.47	0.68411
504.77	0.68392
506.06	0.68295
507.35	0.68271
508.64	0.68202
509.93	0.68249
511.22	0.68203
512.52	0.6828
513.81	0.68276
515.1	0.68295
516.39	0.68233
517.68	0.68191
518.97	0.68139
520.26	0.68161
521.55	0.68164
522.84	0.68217
524.13	0.68143
525.41	0.68133
526.7	0.68104
527.99	0.68125
529.28	0.68124
530.57	0.68116
531.85	0.68086
533.14	0.68031
534.43	0.68035
535.71	0.68052
537	0.68084
538.29	0.68018
539.57	0.67921
540.86	0.67853
542.15	0.67818
543.43	0.67823
544.72	0.6778
546	0.6777
547.29	0.67768
548.57	0.67781
549.85	0.6778
551.14	0.67723
552.42	0.67681
553.71	0.67626
554.99	0.67574
556.27	0.67511
557.55	0.67458
558.84	0.67417
560.12	0.67384
561.4	0.67326
562.68	0.67299
563.96	0.67249
565.25	0.67183
566.53	0.67119
567.81	0.67042
569.09	0.67027
570.37	0.67014
571.65	0.67017
572.93	0.66949
574.21	0.66866
575.49	0.66761
576.77	0.66692
578.05	0.66633
579.33	0.66563
580.6	0.66507
581.88	0.66433
583.16	0.66375
584.44	0.663
585.72	0.66216
586.99	0.66169
588.27	0.66104
589.55	0.66046
590.82	0.65972
592.1	0.65883
593.38	0.65805
594.65	0.6573
595.93	0.6567
597.2	0.65593
598.48	0.65469
599.75	0.65393
601.03	0.65294
