Normal incidence	
Wavelength (nm)	Transmission
192.414993	0.020805
194.001999	0.021187
195.589081	0.021786
197.176178	0.021134
198.763351	0.020491
200.350571	0.02047
201.937836	0.019899
203.525162	0.019464
205.112518	0.018954
206.699921	0.018522
208.287399	0.018478
209.874908	0.018394
211.462448	0.018234
213.050049	0.018049
214.637695	0.017567
216.225388	0.017431
217.813141	0.017089
219.400925	0.016821
220.98877	0.016598
222.57663	0.016553
224.164581	0.016148
225.752533	0.016017
227.340546	0.015947
228.928619	0.016008
230.516693	0.015729
232.104858	0.015407
233.693039	0.015379
235.281281	0.015293
236.869537	0.015148
238.457855	0.014874
240.046219	0.014729
241.634598	0.014539
243.223053	0.014312
244.811523	0.014254
246.400055	0.01416
247.988602	0.014124
249.577194	0.01411
251.165848	0.013944
252.754517	0.013852
254.343231	0.013819
255.932007	0.013728
257.520813	0.013626
259.10965	0.013594
260.698517	0.013523
262.287415	0.013508
263.876373	0.013507
265.465363	0.013546
267.054382	0.013444
268.643433	0.013497
270.232513	0.013504
271.821655	0.013567
273.410828	0.013661
275.000031	0.013714
276.589264	0.013797
278.178528	0.013971
279.767822	0.014009
281.357147	0.014087
282.946533	0.014147
284.53595	0.01438
286.125366	0.014329
287.714844	0.014649
289.304352	0.014768
290.89386	0.014926
292.483459	0.015134
294.073029	0.01537
295.662659	0.015688
297.252319	0.015862
298.84201	0.016249
300.431732	0.016373
302.021484	0.016811
303.611267	0.017052
305.20105	0.017448
306.790894	0.017845
308.380768	0.018159
309.970642	0.018528
311.560577	0.018997
313.150543	0.019655
314.740509	0.020038
316.330505	0.020569
317.920532	0.021135
319.51059	0.021673
321.100677	0.022209
322.690796	0.022835
324.280914	0.023665
325.871063	0.024261
327.461243	0.024907
329.051453	0.025622
330.641693	0.026811
332.231964	0.027477
333.822235	0.028301
335.412537	0.029251
337.002869	0.030308
338.593231	0.031057
340.183594	0.031963
341.773987	0.03316
343.36441	0.03405
344.954865	0.035213
346.545319	0.036233
348.135803	0.037683
349.726288	0.038824
351.316833	0.040196
352.907349	0.041456
354.497894	0.042893
356.088501	0.04438
357.679108	0.046083
359.269714	0.047448
360.860352	0.048645
362.450989	0.050034
364.041687	0.051378
365.632385	0.052972
367.223083	0.054467
368.813782	0.056132
370.404541	0.057584
371.9953	0.05955
373.58606	0.060882
375.176849	0.062855
376.767639	0.064415
378.358459	0.066249
379.94931	0.06808
381.540161	0.069744
383.131042	0.071656
384.721893	0.073244
386.312805	0.074928
387.903687	0.076861
389.494598	0.078561
391.08551	0.080578
392.676453	0.082533
394.267426	0.084488
395.858398	0.08644
397.449371	0.088051
399.040344	0.089782
400.631348	0.091504
402.222351	0.093302
403.813385	0.095048
405.404388	0.097073
406.995422	0.098799
408.586487	0.100838
410.177551	0.102723
411.768616	0.104343
413.35968	0.105751
414.950745	0.10768
416.54184	0.109763
418.132904	0.111578
419.72403	0.113338
421.315125	0.114623
422.90625	0.116188
424.497375	0.117687
426.088531	0.119365
427.679626	0.121284
429.270813	0.122721
430.861908	0.124126
432.453064	0.125911
434.04425	0.127701
435.635345	0.129454
437.226501	0.131441
438.817688	0.132774
440.408844	0.134283
442.000061	0.135822
443.591217	0.136988
445.182373	0.13868
446.773529	0.140244
448.364685	0.141711
449.955902	0.143619
451.547058	0.145241
453.138245	0.147101
454.729431	0.148744
456.320618	0.149996
457.911774	0.151348
459.502991	0.152797
461.094147	0.154507
462.685303	0.156511
464.276459	0.157763
465.867676	0.159394
467.458832	0.160713
469.049988	0.16191
470.641174	0.163809
472.23233	0.165459
473.823486	0.167203
475.414642	0.168723
477.005768	0.170357
478.596924	0.171944
480.18808	0.173469
481.779205	0.174732
483.3703	0.176701
484.961487	0.18073
486.552582	0.182563
488.143707	0.182618
489.734802	0.182983
491.325867	0.184404
492.916992	0.18633
494.508057	0.188048
496.099182	0.189543
497.690247	0.191103
499.281311	0.192717
500.872314	0.19449
502.463379	0.196145
504.054382	0.198325
505.645416	0.199849
507.23642	0.201039
508.827454	0.202282
510.418457	0.204383
512.009399	0.206032
513.600403	0.207653
515.191345	0.209391
516.782288	0.211405
518.37323	0.213115
519.964172	0.214695
521.555054	0.216549
523.145935	0.218142
524.736877	0.220236
526.327759	0.22245
527.918579	0.224169
529.509399	0.225667
531.10022	0.227431
532.69104	0.229167
534.28186	0.231414
535.872681	0.233519
