Average polarization				Separate polarizations
Wavelength (nm)	55.00 deg incidence reflectance	65.00 deg incidence reflectance	75.00 deg incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 deg incidence reflectance"	"s-Intensity, 55.00 deg incidence reflectance"	"p-Intensity, 65.00 deg incidence reflectance"	"s-Intensity, 65.00 deg incidence reflectance"	"p-Intensity, 75 deg incidence reflectance"	"s-Intensity, 75 deg incidence reflectance"
192.414993	0.558388	0.626466	0.684891	192.414993	0.424221	0.692556	0.436027	0.816905	0.477312	0.89247
194.001999	0.560071	0.626477	0.683512	194.001999	0.423905	0.696237	0.434137	0.818817	0.472746	0.894278
195.589081	0.559275	0.624198	0.67868	195.589081	0.422678	0.695872	0.430195	0.818202	0.466461	0.890898
197.176178	0.558783	0.622456	0.675548	197.176178	0.421664	0.695901	0.427487	0.817424	0.460098	0.890999
198.763351	0.558233	0.619536	0.67114	198.763351	0.420605	0.695862	0.423644	0.815427	0.454671	0.887609
200.350571	0.558331	0.618136	0.667797	200.350571	0.419306	0.697356	0.421217	0.815055	0.448759	0.886835
201.937836	0.558708	0.616601	0.66531	201.937836	0.419721	0.697695	0.4184	0.814803	0.444796	0.885824
203.525162	0.560937	0.617531	0.663493	203.525162	0.420959	0.700914	0.416295	0.818768	0.439393	0.887593
205.112518	0.562639	0.616704	0.662559	205.112518	0.421947	0.703331	0.414124	0.819284	0.435019	0.8901
206.699921	0.564243	0.617103	0.661586	206.699921	0.422449	0.706036	0.412751	0.821455	0.430801	0.892371
208.287399	0.565195	0.616142	0.659699	208.287399	0.422151	0.708238	0.410091	0.822193	0.426386	0.893013
209.874908	0.565283	0.615045	0.657198	209.874908	0.421835	0.708732	0.408288	0.821803	0.421417	0.892979
211.462448	0.566749	0.614641	0.656	211.462448	0.422369	0.71113	0.406493	0.82279	0.417128	0.894873
213.050049	0.566305	0.613812	0.653316	213.050049	0.421681	0.710929	0.404372	0.823251	0.412546	0.894087
214.637695	0.566161	0.613704	0.651845	214.637695	0.420803	0.711519	0.402619	0.824788	0.408368	0.895322
216.225388	0.56688	0.612902	0.649932	216.225388	0.421218	0.712542	0.400811	0.824993	0.404287	0.895577
217.813141	0.566338	0.611627	0.647763	217.813141	0.420455	0.71222	0.398362	0.824891	0.399173	0.896352
219.400925	0.565879	0.611018	0.645391	219.400925	0.41948	0.712279	0.396747	0.825289	0.394823	0.895959
220.98877	0.565131	0.609868	0.642758	220.98877	0.418463	0.7118	0.394989	0.824748	0.390457	0.895059
222.57663	0.565863	0.609419	0.641404	222.57663	0.418976	0.712751	0.393264	0.825573	0.386008	0.8968
224.164581	0.566315	0.609129	0.639717	224.164581	0.418671	0.713959	0.391816	0.826442	0.382994	0.896439
225.752533	0.567166	0.609612	0.639086	225.752533	0.419025	0.715307	0.390894	0.828331	0.379371	0.898801
227.340546	0.568165	0.61042	0.638442	227.340546	0.419472	0.716857	0.39044	0.830401	0.375773	0.90111
228.928619	0.568298	0.609843	0.636206	228.928619	0.419351	0.717245	0.388511	0.831174	0.371701	0.900712
230.516693	0.566963	0.607651	0.632789	230.516693	0.417735	0.716192	0.385236	0.830065	0.365763	0.899814
232.104858	0.565402	0.605607	0.629486	232.104858	0.415333	0.715472	0.382509	0.828705	0.360861	0.898111
233.693039	0.564575	0.604389	0.626998	233.693039	0.414419	0.71473	0.380217	0.82856	0.356665	0.897331
235.281281	0.564806	0.604183	0.625045	235.281281	0.414607	0.715004	0.379306	0.82906	0.352906	0.897185
236.869537	0.565394	0.604565	0.624543	236.869537	0.414571	0.716216	0.378529	0.830602	0.349576	0.899511
238.457855	0.56597	0.60455	0.622927	238.457855	0.414798	0.717142	0.37763	0.831471	0.345623	0.900231
240.046219	0.565278	0.603568	0.620605	240.046219	0.413784	0.716772	0.375171	0.831966	0.341265	0.899945
241.634598	0.564532	0.602336	0.617818	241.634598	0.412601	0.716463	0.373021	0.83165	0.336729	0.898907
243.223053	0.563082	0.600234	0.614345	243.223053	0.410527	0.715637	0.370283	0.830184	0.331424	0.897267
244.811523	0.561845	0.598497	0.611622	244.811523	0.409021	0.71467	0.367892	0.829102	0.3269	0.896345
246.400055	0.560511	0.596567	0.608499	246.400055	0.407685	0.713337	0.365137	0.827997	0.322352	0.894646
247.988602	0.559082	0.594847	0.6055	247.988602	0.405851	0.712313	0.362879	0.826815	0.318139	0.892861
249.577194	0.558698	0.59393	0.60363	249.577194	0.405376	0.712019	0.36126	0.826601	0.314363	0.892897
251.165848	0.558097	0.592766	0.601931	251.165848	0.404299	0.711895	0.359477	0.826055	0.310783	0.893079
252.754517	0.557283	0.591916	0.599804	252.754517	0.403678	0.710887	0.35775	0.826082	0.307235	0.892373
254.343231	0.557305	0.591672	0.59815	254.343231	0.40329	0.71132	0.356553	0.82679	0.304048	0.892253
255.932007	0.557139	0.591248	0.597048	255.932007	0.402898	0.71138	0.355769	0.826726	0.30114	0.892956
257.520813	0.556918	0.590498	0.595768	257.520813	0.402222	0.711614	0.354089	0.826906	0.297759	0.893776
259.10965	0.557219	0.590526	0.594332	259.10965	0.402384	0.712054	0.35302	0.828031	0.294286	0.894378
260.698517	0.557494	0.589357	0.592608	260.698517	0.402254	0.712733	0.35134	0.827375	0.290747	0.894469
262.287415	0.55711	0.588544	0.590666	262.287415	0.40192	0.7123	0.34983	0.827258	0.287404	0.893927
263.876373	0.556363	0.587345	0.588229	263.876373	0.400765	0.711962	0.347881	0.82681	0.283243	0.893215
265.465363	0.554714	0.58571	0.585968	265.465363	0.398866	0.710562	0.345812	0.825609	0.279456	0.892481
267.054382	0.553481	0.583933	0.5833	267.054382	0.397207	0.709756	0.343643	0.824223	0.275538	0.891063
268.643433	0.552221	0.581971	0.580648	268.643433	0.395595	0.708846	0.3411	0.822841	0.271592	0.889705
270.232513	0.551213	0.580954	0.578381	270.232513	0.394691	0.707735	0.339254	0.822654	0.268323	0.888438
271.821655	0.550576	0.580042	0.576942	271.821655	0.39387	0.707282	0.33757	0.822514	0.265331	0.888553
273.410828	0.5505	0.579419	0.575979	273.410828	0.393821	0.707178	0.336945	0.821893	0.262799	0.88916
275.000031	0.550745	0.579263	0.574788	275.000031	0.393912	0.707579	0.335714	0.822812	0.259998	0.889577
276.589264	0.550847	0.579223	0.573558	276.589264	0.393592	0.708102	0.334747	0.823699	0.256706	0.89041
278.178528	0.549988	0.577789	0.571752	278.178528	0.392231	0.707745	0.333046	0.822532	0.253405	0.890099
279.767822	0.549412	0.576372	0.569743	279.767822	0.391238	0.707586	0.330781	0.821964	0.249954	0.889531
281.357147	0.548369	0.575322	0.568103	281.357147	0.390701	0.706037	0.329408	0.821237	0.247029	0.889178
282.946533	0.548454	0.575325	0.567194	282.946533	0.390364	0.706544	0.328865	0.821785	0.244488	0.8899
284.53595	0.54837	0.57494	0.565696	284.53595	0.389986	0.706754	0.327849	0.822032	0.241508	0.889884
286.125366	0.547947	0.574136	0.563917	286.125366	0.389338	0.706557	0.326316	0.821956	0.238485	0.889348
287.714844	0.547643	0.573285	0.562354	287.714844	0.388565	0.706721	0.324608	0.821963	0.235204	0.889505
289.304352	0.547067	0.571965	0.560772	289.304352	0.387895	0.706239	0.322706	0.821224	0.23199	0.889553
290.89386	0.546597	0.571106	0.558898	290.89386	0.387121	0.706072	0.3217	0.820513	0.229213	0.888583
292.483459	0.546816	0.570731	0.557858	292.483459	0.386891	0.706742	0.320451	0.821011	0.226036	0.889681
294.073029	0.545745	0.569658	0.5561	294.073029	0.385396	0.706095	0.318539	0.820777	0.223048	0.889151
295.662659	0.545335	0.568933	0.554197	295.662659	0.38477	0.705901	0.316952	0.820914	0.219814	0.888579
297.252319	0.544967	0.568258	0.552881	297.252319	0.383853	0.70608	0.315355	0.821161	0.216959	0.888803
298.84201	0.544378	0.567015	0.550766	298.84201	0.382844	0.705911	0.313879	0.82015	0.213946	0.887586
300.431732	0.543923	0.566379	0.549399	300.431732	0.38179	0.706055	0.312162	0.820595	0.21082	0.887979
302.021484	0.543034	0.565082	0.547685	302.021484	0.380682	0.705386	0.31043	0.819733	0.208078	0.887292
303.611267	0.541968	0.563663	0.546441	303.611267	0.379521	0.704415	0.308718	0.818608	0.205287	0.887596
305.20105	0.541515	0.563214	0.544164	305.20105	0.37882	0.704209	0.307314	0.819114	0.202194	0.886133
306.790894	0.541119	0.562489	0.543239	306.790894	0.37791	0.704328	0.305742	0.819235	0.200169	0.886308
