Opt. Const. of B-Spline vs. nm		
nm	n	k
192.414993	1.57103	0.000003
194.001999	1.568826	0.000003
195.589081	1.56659	0.000003
197.176178	1.564268	0.000003
198.763351	1.561813	0.000003
200.350571	1.559214	0.000003
201.937836	1.556577	0.000002
203.525162	1.554024	0.000002
205.112518	1.551667	0.000002
206.699921	1.549592	0.000002
208.287399	1.547754	0.000002
209.874908	1.546061	0.000002
211.462448	1.544429	0.000002
213.050049	1.542779	0.000001
214.637695	1.541077	0.000001
216.225388	1.539356	0.000001
217.813141	1.537649	0.000001
219.400925	1.535991	0.000001
220.98877	1.53441	0.000001
222.57663	1.532912	0.000001
224.164581	1.531478	0
225.752533	1.53009	0
227.340546	1.528729	0
228.928619	1.52738	0
230.516693	1.526037	0
232.104858	1.524719	0
233.693039	1.523445	0
235.281281	1.52223	0
236.869537	1.521092	0
238.457855	1.520043	0
240.046219	1.519075	0
241.634598	1.518164	0
243.223053	1.517289	0
244.811523	1.516429	0
246.400055	1.515565	0
247.988602	1.514679	0
249.577194	1.513771	0
251.165848	1.51285	0
252.754517	1.511928	0
254.343231	1.511013	0
255.932007	1.510115	0
257.520813	1.509241	0
259.10965	1.508399	0
260.698517	1.507585	0
262.287415	1.506793	0
263.876373	1.506018	0
265.465363	1.505256	0
267.054382	1.504503	0
268.643433	1.503753	0
270.232513	1.503004	0
271.821655	1.502256	0
273.410828	1.501511	0
275.000031	1.50077	0
276.589264	1.500035	0
278.178528	1.499308	0
279.767822	1.49859	0
281.357147	1.497882	0
282.946533	1.497186	0
284.53595	1.496504	0
286.125366	1.495841	0
287.714844	1.495197	0
289.304352	1.494577	0
290.89386	1.493982	0
292.483459	1.493415	0
294.073029	1.492878	0
295.662659	1.492372	0
297.252319	1.491897	0
298.84201	1.49145	0
300.431732	1.491025	0
302.021484	1.490618	0
303.611267	1.490227	0
305.20105	1.489846	0
306.790894	1.489474	0
308.380768	1.489107	0
309.970642	1.488741	0
311.560577	1.488375	0
313.150543	1.488008	0
314.740509	1.487643	0
316.330505	1.487279	0
317.920532	1.486919	0
319.51059	1.486562	0
321.100677	1.48621	0
322.690796	1.485864	0
324.280914	1.485525	0
325.871063	1.485193	0
327.461243	1.484869	0
329.051453	1.484553	0
330.641693	1.484244	0
332.231964	1.483939	0
333.822235	1.483639	0
335.412537	1.483341	0
337.002869	1.483045	0
338.593231	1.48275	0
340.183594	1.482454	0
341.773987	1.482157	0
343.36441	1.481857	0
344.954865	1.481554	0
346.545319	1.481247	0
348.135803	1.480937	0
349.726288	1.480624	0
351.316833	1.480311	0
352.907349	1.479997	0
354.497894	1.479685	0
356.088501	1.479374	0
357.679108	1.479066	0
359.269714	1.478762	0
360.860352	1.478463	0
362.450989	1.478168	0
364.041687	1.47788	0
365.632385	1.477598	0
367.223083	1.477324	0
368.813782	1.477057	0
370.404541	1.476798	0
371.9953	1.476547	0
373.58606	1.476302	0
375.176849	1.476066	0
376.767639	1.475836	0
378.358459	1.475614	0
379.94931	1.475399	0
381.540161	1.475192	0
383.131042	1.474991	0
384.721893	1.474798	0
386.312805	1.474612	0
387.903687	1.474433	0
389.494598	1.474261	0
391.08551	1.474096	0
392.676453	1.473937	0
394.267426	1.473783	0
395.858398	1.473635	0
397.449371	1.47349	0
399.040344	1.473348	0
400.631348	1.473209	0
402.222351	1.473072	0
403.813385	1.472937	0
405.404388	1.472802	0
406.995422	1.472667	0
408.586487	1.472533	0
410.177551	1.472397	0
411.768616	1.472261	0
413.35968	1.472123	0
414.950745	1.471982	0
416.54184	1.47184	0
418.132904	1.471694	0
419.72403	1.471546	0
421.315125	1.471397	0
422.90625	1.471246	0
424.497375	1.471094	0
426.088531	1.470942	0
427.679626	1.47079	0
429.270813	1.470638	0
430.861908	1.470487	0
432.453064	1.470337	0
434.04425	1.470188	0
435.635345	1.470042	0
437.226501	1.469897	0
438.817688	1.469754	0
440.408844	1.469615	0
442.000061	1.469478	0
443.591217	1.469344	0
445.182373	1.469214	0
446.773529	1.469088	0
448.364685	1.468966	0
449.955902	1.468847	0
451.547058	1.468731	0
453.138245	1.468619	0
454.729431	1.468509	0
456.320618	1.468403	0
457.911774	1.468298	0
459.502991	1.468195	0
461.094147	1.468095	0
462.685303	1.467996	0
464.276459	1.467898	0
465.867676	1.467802	0
467.458832	1.467706	0
469.049988	1.467612	0
470.641174	1.467518	0
472.23233	1.467425	0
473.823486	1.467331	0
475.414642	1.467238	0
477.005768	1.467145	0
478.596924	1.467052	0
480.18808	1.466959	0
481.779205	1.466865	0
483.3703	1.46677	0
484.961487	1.466675	0
